epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
54,361.118,0.53545,0.39576,0.32609,0.00492,0.28039,0.93586,0.93749,0.95175,0.91201,0.93586,0.93749,0.95175,0.83943,0.3599,0.25258,0.26611,0.00446,0,0.000634502,0.000634502,0.000634502
55,367.571,0.51744,0.31074,0.34399,0.00485,0.36422,0.96557,0.91946,0.95278,0.90372,0.96557,0.91946,0.95278,0.8147,0.38269,0.24616,0.28396,0.00548,0,0.000631964,0.000631964,0.000631964
56,374.062,0.51691,0.36158,0.35339,0.0044,0.26364,0.97357,0.90474,0.95163,0.90945,0.97357,0.90474,0.95163,0.82295,0.36394,0.25107,0.31506,0.00626,0,0.000629427,0.000629427,0.000629427
57,380.398,0.54089,0.47826,0.36162,0.00581,0.37557,0.93473,0.92873,0.94499,0.89739,0.93473,0.92873,0.94499,0.81941,0.39051,0.23889,0.2924,0.00615,0,0.000626889,0.000626889,0.000626889
58,386.993,0.4833,0.34836,0.30435,0.00423,0.23019,0.90698,0.95435,0.94873,0.90341,0.9417,0.92812,0.94961,0.8288,0.36377,0.25841,0.26473,0.00546,0,0.000624351,0.000624351,0.000624351
59,393.755,0.52142,0.36991,0.34091,0.00496,0.39886,0.94669,0.9312,0.95238,0.89816,0.94669,0.9312,0.95238,0.83718,0.41788,0.26738,0.26962,0.00549,0,0.000621813,0.000621813,0.000621813
60,400.573,0.53324,0.39258,0.32454,0.00489,0.25412,0.95314,0.93779,0.96516,0.93185,0.95314,0.93779,0.96516,0.83531,0.33212,0.28949,0.21134,0.00492,0,0.000619276,0.000619276,0.000619276
61,407.337,0.57104,0.37564,0.34432,0.005,0.27184,0.9584,0.9403,0.96913,0.92182,0.9584,0.9403,0.96913,0.86185,0.37417,0.28536,0.23569,0.00548,0,0.000616738,0.000616738,0.000616738
62,413.961,0.54287,0.38949,0.35695,0.00481,0.24129,0.96729,0.94277,0.9789,0.94229,0.96729,0.94277,0.9789,0.83721,0.34615,0.27791,0.215,0.005,0,0.0006142,0.0006142,0.0006142
63,420.318,0.53511,0.38961,0.35782,0.00487,0.27881,0.97728,0.93962,0.9791,0.93644,0.97728,0.93962,0.9791,0.83465,0.34784,0.27241,0.20604,0.00472,0,0.000611663,0.000611663,0.000611663
